request_id,status,worker_id,latency_ms,tokens,error,reassigned,timestamp
0,success,worker-1,3050.67,20,,False,2026-05-07T13:28:28.422850
1,success,worker-2,3442.4,20,,False,2026-05-07T13:28:28.821618
2,success,worker-3,3253.16,20,,False,2026-05-07T13:28:28.632808
3,success,worker-4,3630.06,20,,False,2026-05-07T13:28:29.010060
4,success,worker-1,771.78,20,,False,2026-05-07T13:28:57.516027
5,success,worker-2,774.07,20,,False,2026-05-07T13:28:29.197811
6,success,worker-2,771.85,20,,False,2026-05-07T13:28:57.707384
7,success,worker-4,947.7,20,,False,2026-05-07T13:28:29.581375
8,success,worker-3,768.38,20,,False,2026-05-07T13:28:57.901052
9,success,worker-2,567.68,20,,False,2026-05-07T13:28:29.390064
10,success,worker-3,762.01,20,,False,2026-05-07T13:28:29.772478
11,success,worker-4,763.26,20,,False,2026-05-07T13:28:29.961438
12,success,worker-1,760.6,20,,False,2026-05-07T13:28:30.151050
13,error,unknown,0,0,Simulated node crash on worker-4,False,2026-05-07T13:28:57.323848
14,success,worker-3,951.16,20,,False,2026-05-07T13:28:30.533126
15,success,worker-4,569.4,20,,False,2026-05-07T13:28:30.342340
16,success,worker-1,952.55,20,,False,2026-05-07T13:28:30.914382
17,success,worker-1,767.7,20,,False,2026-05-07T13:28:58.092182
18,success,worker-3,572.65,20,,False,2026-05-07T13:28:30.724437
19,success,worker-2,768.61,20,,False,2026-05-07T13:28:58.285932
20,success,worker-1,761.01,20,,False,2026-05-07T13:28:31.103976
21,success,worker-2,762.14,20,,False,2026-05-07T13:28:31.295671
22,success,worker-3,762.65,20,,False,2026-05-07T13:28:31.487568
23,success,worker-4,762.06,20,,False,2026-05-07T13:28:31.676929
24,success,worker-1,762.84,20,,False,2026-05-07T13:28:31.867175
25,success,worker-2,760.78,20,,False,2026-05-07T13:28:32.056880
26,success,worker-3,758.89,20,,False,2026-05-07T13:28:32.247030
27,success,worker-4,760.18,20,,False,2026-05-07T13:28:32.437469
28,success,worker-3,767.34,20,,False,2026-05-07T13:28:58.475277
29,success,worker-2,761.47,20,,False,2026-05-07T13:28:32.629434
30,success,worker-4,766.37,20,,False,2026-05-07T13:28:58.668488
31,success,worker-4,761.98,20,,False,2026-05-07T13:28:32.819575
32,success,worker-1,761.74,20,,False,2026-05-07T13:28:33.009180
33,success,worker-1,768.63,20,,False,2026-05-07T13:28:58.861752
34,success,worker-3,761.53,20,,False,2026-05-07T13:28:33.199788
35,success,worker-4,760.37,20,,False,2026-05-07T13:28:33.390087
36,success,worker-1,759.74,20,,False,2026-05-07T13:28:33.579667
37,success,worker-2,766.97,20,,False,2026-05-07T13:28:59.053623
38,success,worker-3,760.5,20,,False,2026-05-07T13:28:33.770506
39,success,worker-4,759.79,20,,False,2026-05-07T13:28:33.960145
40,success,worker-1,760.53,20,,False,2026-05-07T13:28:34.150919
41,success,worker-2,762.05,20,,False,2026-05-07T13:28:34.342123
42,success,worker-3,761.89,20,,False,2026-05-07T13:28:34.532711
43,success,worker-3,769.87,20,,False,2026-05-07T13:28:59.245827
44,success,worker-1,762.0,20,,False,2026-05-07T13:28:34.722773
45,error,unknown,0,0,Simulated node crash on worker-4,False,2026-05-07T13:28:58.669215
46,success,worker-1,768.33,20,,False,2026-05-07T13:28:59.438141
47,success,worker-4,762.4,20,,False,2026-05-07T13:28:34.914380
48,success,worker-1,760.66,20,,False,2026-05-07T13:28:35.103311
49,success,worker-2,762.17,20,,False,2026-05-07T13:28:35.295262
50,success,worker-2,768.28,20,,False,2026-05-07T13:28:59.630701
51,success,worker-3,769.83,20,,False,2026-05-07T13:28:59.824048
52,success,worker-1,762.01,20,,False,2026-05-07T13:28:35.485984
53,success,worker-2,763.9,20,,False,2026-05-07T13:28:35.678565
54,success,worker-3,765.11,20,,False,2026-05-07T13:28:35.868811
55,success,worker-4,762.83,20,,False,2026-05-07T13:28:36.058379
56,success,worker-4,769.58,20,,False,2026-05-07T13:29:00.016269
57,success,worker-2,762.39,20,,False,2026-05-07T13:28:36.249226
58,success,worker-1,771.48,20,,False,2026-05-07T13:29:00.210428
59,error,unknown,0,0,Simulated node crash on worker-2,False,2026-05-07T13:28:59.631368
60,success,worker-3,771.02,20,,False,2026-05-07T13:29:00.404796
61,success,worker-2,759.85,20,,False,2026-05-07T13:28:36.439690
62,success,worker-3,760.0,20,,False,2026-05-07T13:28:36.629327
63,success,worker-4,771.6,20,,False,2026-05-07T13:29:00.596687
64,success,worker-1,760.66,20,,False,2026-05-07T13:28:36.819624
